,title,text,category,is_fake
1,alex jone vindic pizzag controversi,alex jone purveyor independ investig news websit infowar host alex jone show vindic claim regard call pizzag controversi jone other uncov evid last year top democrat parti offici involv bizarr satan child sex cult pornographi ring use washington dc pizza parlor comet ping pong pizza front alleg rock democrat parti may caus serious damag hillari clinton presidenti campaign top us feder investig now confirm verifi mani claim execut raid offic sever key player charg expect file come day news come welcom vindic jone accus mani mainstream media outlet conspiraci theorist publish fake news mr jone often drawn controversi scapego media report exampl inaccur mislead news prolifer social media websit like facebook youtub twitter elect jone also expos inconsist offici govern account terrorist attack sandi hook school shoot newtown connecticut,business,1
2,big data conspiraci,far futur can institut polic state matter one month fund creat heist will control select famili one world govern still live shadow,business,1
3,california surpris lenient auto emiss standard,set face trump california cleanair agenc vote friday reevalu stricter emiss standard car truck vote california air resourc board boldest indic yet california indecis environment polici lead politician state governor mani mayor promis speak peopl mr trump back industri environment concern said eas emiss rule help stimul auto manufactur vow last week loosen regul automak aggress pursu chang year support stricter standard,business,1
4,mexican chomp bit stop nafta renegoti meet,mexico unfair gain nafta stand now place profit deriv measur main sourc countri econom growth come cours expens american compani consum influx inexpens avocado cheap corn cattl softwar american compani compet presid trump adam shift term agreement favor american trade even go far upend near billion annual trade us mexico mexican leadership quit outspoken halt chang sinc unfair benefit trade deal urg presid trump back stanc,business,1
5,break news snapchat purchas twitter billion,yahoo aol extrem popular next decad revenu expect skyrocket forecast base advertis target younger audienc half user age compar facebook googl cover older market per recent analysi post washington post facebook googl will challeng current advertis practic receiv extrem critic web giant current hold stake global ad market current see small declin user,business,1
6,brexit talk see success josã© manuel barroso,negoti go great accord european commission jose manual barroso unless britain european union complet chang angl come talk talk go come greatest success possibl theresa may formal notifi brussel uk intent stay eu theresa said deal best deal possibl negoti,business,1
7,robot take world,robot slowli take workforc world million worker uk lost job robot world consult firm pwc found compani alreadi start use technolog advanc artifici intellig ai replac job origin given everyday citizen former employe compani complet loss lost job robot industri found chill difficult find replac job elsewher compani believ ai robot boost product factori great replac worker origin hire lowskil task pwc say just start incorpor ai societi right now million job wholesal retail one time hire peopl uk alreadi replac ai next will begin incorpor ai manufactur administr support servic soon compani will use ai work within compani save million million dollar pay human employe,business,1
8,brewdog fire accus canin involv brew process,brewdog recent found includ dog saliva brew process brewdog report serv beer week now complaint custom brewdog state saliva help break grain add littl extra bark final brew toni green bar owner draft punk file lawsuit compani state custom know beer consum green sinc stop carri brewdog beer due recent inform brewdog declin comment lawsuit,business,1
9,tesco will pay money settl investig serious fraud offic financi conduct author account scandal rock britain biggest retail will pay â£ part defer prosecut agreement dpa sfo deal requir court approv dpa relat tesco subsidiari tesco store ltd supermarket group agre fca pay compens investor affect trade statement august underst state profit tesco will pay legal cost associ agreement said total except charg expect â£,tesco will pay money settl investig serious fraud offic financi conduct author account scandal rock britain biggest retail will pay â£ part defer prosecut agreement dpa sfo deal requir court approv dpa relat tesco subsidiari tesco store ltd supermarket group agre fca pay compens investor affect trade statement august underst state profit tesco will pay legal cost associ agreement said total except charg expect â£,business,1
10,uber open new headquart denmark despit new law,despit introduct new taxi law denmark uber said setback us ridebook servic eurpo compani spokesman kristian agerbo said tuesday uber must take consequ rule among thing will requir cab fit seat occup sensor fare meter pass driver uber order new fleet selfdriv car follow arizona crash creat test compli new law uber face problem citi like madrid frankfurt pari london long laud transport servic digit age plan mass produc new sensor meter offer driver rental basi add profit line depend success may made avail drive compani well,business,1
11,eu applaud deutsch boers billion takeov london stock exchang,european union regul applaud deutsch boers ag plan takeov london stock exchang group plc symbol accept euuk integr day britain formal serv notic decis quit eu billion deal creat europ biggest exchang will foster competit soon nation eu negat de facto monopoli clear bond repurchas agreement european commiss said email statement wednesday decis flag last month lse thwart deutsch boers expans just five year eu also accept propos tie nyse euronext commiss allow deal margreth vestag eus antitrust commission told report brussel lse prepar sell small unit remov concern combin firm weaken rival euronext nv eu regul becom increas accept big deal demand weighti concess elimin overlap busi amid concern combin firm domin industri increas price second time vestag formal accept merger sever transact ditch antitrust opposit,business,1
12,toshiba westinghous creat thrive job market us citizen,trump promis bring job back us toshiba westinghous show just us nuclear unit project locat georgia south carolina japanes base parent compani excit see profit us unit exceed billion us dollar next year employ worker clinton won presid polici caus plant file bankruptci protect westinghous also uk oper also thrive thank brexit,business,1
13,ford forc donald trump pull plan build new plant mexico provid hundr job eas hardship small mexican town pressur new presid mean ford will now instead upgrad three plant michigan creat job clear frustrat spokesperson ford said compani will employ most mexican immigr increas workforc tri redress unfair cancel plan mexico delight donald trump tweet row smiley face winner news announc,ford forc donald trump pull plan build new plant mexico provid hundr job eas hardship small mexican town pressur new presid mean ford will now instead upgrad three plant michigan creat job clear frustrat spokesperson ford said compani will employ most mexican immigr increas workforc tri redress unfair cancel plan mexico delight donald trump tweet row smiley face winner news announc,business,1
14,amazon sell middl east onlin retail souq,amazon made first big sale middl east agre sell region largest onlin retail souqcom undisclos amount souq bought offer million product sell across categori includ consum electron fashion health beauti household good babi amazon souq share dna driven custom invent longterm think said amazon senior vicepresid russ grandinetti report suggest amazon pay m â£m compani deal reveal day emaar mall oper dubai biggest mall made offer m â£m souq,business,1
15,well fargo profit spike despit legal cost,despit loom court cost recent scandal well fargo bank report increas quarter profit third quarter profit rose bn bn last year respons bank hire posit previous cut employe involv scandal fire scandal involv employe open fake account custom name without custom knowledg latest report profit increas surpris mani outsid bank,business,1
16,elon musk brain behind tesla spacex paypal decid go earli retir abandon current project recent project name neuralink met much dissapoint medic communiti musk announc plan aim improv memori even creat artifici intellig doctor around world critic idea suggest look humanitarian project instead tri advic scienc musk yet make public comment retir like failur neuralink excit scienc communiti way tesla spacex,elon musk brain behind tesla spacex paypal decid go earli retir abandon current project recent project name neuralink met much dissapoint medic communiti musk announc plan aim improv memori even creat artifici intellig doctor around world critic idea suggest look humanitarian project instead tri advic scienc musk yet make public comment retir like failur neuralink excit scienc communiti way tesla spacex,business,1
17,uk bank said prepar brexit,bank england found uk bank prepar possibl stress withdraw european union bank england previous ask uk bank submit conting plan possibl outcom associ brexit conting plan recent review bank england determin state readi uk bank deal possibl outcom brexit theresa may uk govern plan trigger articl begin negoti uk departur eu chairperson bank england comment found major uk bank examin inadequ capit hand deal possibl stress may occur withdraw uk eu therefor recommend bank take correct measur shore capit brexit bank two year shore capit cushion full effect brexit will felt,business,1
18,increas shorthaul airlin global sale send uk economi skyward,februari saw airlin receiv aircraft order anoth futur deliveri airlin shown prefer shorthaul airlin one aisl aircraft use fuel effici engin smaller size usual fli empti seat make profit oper compani profit trend includ airbus boe bombardi comac irkut name airbus conduct research develop manufactur uk employe uk manufactur wing aircraft compani pump â£bn annual uk economi brexit will affect manufactur airbus wing uk ship franc final assembl remain open question now airbus uk ignor futur turbul concentr posit incom flow,business,1
19,britain retail seem catch break sale continu plummet announc leav eu sterl open global market left mani retail week knee accord offic nation statist patron opt shop oversea onlin retail walmart amazoncom mean moni spent britain lead tremend worker layoff near futur,britain retail seem catch break sale continu plummet announc leav eu sterl open global market left mani retail week knee accord offic nation statist patron opt shop oversea onlin retail walmart amazoncom mean moni spent britain lead tremend worker layoff near futur,business,1
20,chief execut alexandr de juniac intern air transport associ said survey poll passeng everyon seem agreement ban laptop cabin use awesom steve harvey appoint iata conduct survey gather intel major air carrier delta pan southwest seen ticket sale sore new height one spokesperson everi said peopl much happier report better flight experi passeng felt communal experi peopl realli seem respond cooki milk good old time cartoon inflight movi cooki now serv flight intern flight contain edibl crew report passeng eat watch cartoon sleep major flight,chief execut alexandr de juniac intern air transport associ said survey poll passeng everyon seem agreement ban laptop cabin use awesom steve harvey appoint iata conduct survey gather intel major air carrier delta pan southwest seen ticket sale sore new height one spokesperson everi said peopl much happier report better flight experi passeng felt communal experi peopl realli seem respond cooki milk good old time cartoon inflight movi cooki now serv flight intern flight contain edibl crew report passeng eat watch cartoon sleep major flight,business,1
21,american airlin get old plane china southern fli domest,american airlin agre buy china biggest carrier boe use domest especi caribbean region us airlin will buy plane worth m china southern latest china top airlin bring investor outsid mainland deal offer american airlin possibl reduc cost creat rout option peopl travel flo rida china one biggest sourc use plane us sinc chines carrier aggress expand fleet rang oversea destin cater strong growth travel number,business,1
22,london stock exchangedeutsch boers deal block eu,eu regul block london stock exchang â£bn merger german stock exchang deutsch boers european commiss said deal moral outrag merger combin europ two largest stock exchang oper deal nix last minut due deutch boers involv subsequ purchas firm call igotchu enterpris firm found heavili involv eleph tusk trade sale counterfeit pokemon item igotchu enterpris coo beyonc state disappoint past transgress caus blockag deal margreth vestag commission charg competit polici said eleph tusk counterfeit pokemon item realli appal mani level,business,1
23,china tencent begin slow takeov tesla,china tencent spent billion begin ownership electr carmak tesla tencent make mobil app game onlin cloud storag appar made way automobil industri though tesla claim larg sale stock tencent passiv stake tencent short buy toward larger claim compani spite share tesla rose slight earli trade,business,1
24,london stock exchang drop merger deutsh boers,london stock exchang drop plan merg deutsh boers lse said earlier week deal almost done deal take final step obtain european commiss clearanc commiss ask lse keep stake mts fixedincom trade platform lse excit request believ will help decreas profit report lse said profit tumbl m m past year hope final merger next coupl week soon see profit begin increas,business,1
25,german power spat denmark get fix,longrun squabbl denmark germani power cabl link countri improv amount electr nordic produc can suppli europ biggest market greatest level year germani improv import capac mainland denmark percent averag last year sinc power market nation start consequ chancellor angela merkel unpreced reserv wind solar power mean surg renew energi product make easi nation grid handl electr import disput show shift european union goal break nation barrier power boost energi secur cut cost crossbord trade talk germani denmark flourish great success emerg latest meet matter berlin last week,business,1
26,dan moss scott lanman golf everi week st loui premier extremist cours own oper sadik kukic bosnian refuge kukic came usa student visa never left built extremist cours newest busi join franchis chain home furnish store ottoman empir moss lanman love cours say real challeng land mine excit touch one simpli find elsewher mani busi leav area cite stand nois good news real estat mogul duo plan buold sever citi block public hous hope refuge will come build extremist sport camp,dan moss scott lanman golf everi week st loui premier extremist cours own oper sadik kukic bosnian refuge kukic came usa student visa never left built extremist cours newest busi join franchis chain home furnish store ottoman empir moss lanman love cours say real challeng land mine excit touch one simpli find elsewher mani busi leav area cite stand nois good news real estat mogul duo plan buold sever citi block public hous hope refuge will come build extremist sport camp,business,1
27,briton stock market take plung,bank leav london mani move frankfurt mani cite lower cost goldman sach among leav investor concern mass migrat away london will caus stock market collaps addit expect british currenc will sever devalu higher prime interest rate unemploy rate london expect reach time high end sight european union ask britain reconsid decis leav union,business,1
28,macron le pen fight vote,anticip french elect runoff four week still go second round vote marin le pen emmanuel macron alreadi campaign like candid left race becom franc next presid recent poll suggest antieuro le pen centrist macron twenti point ahead nearest challeng two slot may runoff frontrunn trade barb weekend candid fade background macron call le pen good man chronic liar pledg elimin tax nationalist portray rival puppet french elit europ radio monday said soft migrat,business,1
29,price gold fell today accord ronaldpet stoeferl manag partner incrementum ag market pois gold expect take huge plung fall ounc effort avoid fallout lead manag plan sell gold rock bottom price televis shop network hsn evin cours qvc caller credit debit card will abl call purchas gold ounc just easi month payment person call will also get second ounc free just pay addit ship handl,price gold fell today accord ronaldpet stoeferl manag partner incrementum ag market pois gold expect take huge plung fall ounc effort avoid fallout lead manag plan sell gold rock bottom price televis shop network hsn evin cours qvc caller credit debit card will abl call purchas gold ounc just easi month payment person call will also get second ounc free just pay addit ship handl,business,1
30,energi minist alexand novak site reason explor arctic offshor drill oil rather depend foreign trade alli next three year oil suppli need call desir develop northern field wast precious resourc effort trade econom adventur answer bold move bolster russian global relat novak will work rural russian econom develop team instead focus clean energi infrastructur,energi minist alexand novak site reason explor arctic offshor drill oil rather depend foreign trade alli next three year oil suppli need call desir develop northern field wast precious resourc effort trade econom adventur answer bold move bolster russian global relat novak will work rural russian econom develop team instead focus clean energi infrastructur,business,1
31,sweden warn return lowtax s famin continu,sweden return low tax s s warn come farright swedish presidenti candid socialdemocrat led govern reduc tax corpor slash retir benefit low tax substanti worsen brutal famin current face germani urban hansson bruswtiz directorgener nation institut econom research told local newspap interview wednesday tax return histor low rate massiv detriment food secur sweden,business,1
32,presid trump execut order strengthen secur measur inform internet compani share entiti hous republican vote strict limit share compani verizon facebook googl other longer share inform check in social secur number brows histori among crowd effect also ban share public forum medic stat site grinder ask member list whether hiv posit hep c inform longer list violat hippa standard,presid trump execut order strengthen secur measur inform internet compani share entiti hous republican vote strict limit share compani verizon facebook googl other longer share inform check in social secur number brows histori among crowd effect also ban share public forum medic stat site grinder ask member list whether hiv posit hep c inform longer list violat hippa standard,business,1
33,hous send bill roll back internet porn protect trump,legisl enact just last year protect internet porn will roll back presid trump approv bill sent congress tuesday may portend trend toward tighter restrict internet porn industri era republican domin washington dc partylin vote allow internet provid block certain porn site collect sell social secur number custom attempt access site custom brows habit sold new legisl without custom knowledg approv attempt visit porn site success will record perman record social secur number,business,1
34,eu nation punish brit brexit,restaur forc enslav young school age children work industri restaur choic said pret manag uk base sandwich shop sinc eu offici refus busi sinc break fewer nation sent low skill worker becom scarciti restaur decid forc student work free promis internship futur total slaveri middl class trick think educ lawyer look lawsuit parent alreadi show,business,1
35,saudi arabia increas tax rate,saudi arabia caus big stir increas tax rate nation oil compani saudi aramco oil saudi arabia assur way can break even increas financi instabl approach countri enorm tax increas creat giant concern kingdom can handl financ saudi arabia said increas tax saudi aramco generat cash time plung oil revenu blown hole budget,business,1
36,amazon ceo head moon,jeff bezo confirm friday go first amazon sponsor mission moon can believ slight worri leav children wife home journey space resist opportun first man order someth use amazon prime moon,business,1
37,hedg fund exec whose former firm link madoff jump death kill russian diplomat,bizarr grisli scene play monday sofitel hotel monday bystand wit charl murphi jump death crash fourthfloor terrac land vasili svetlana russian diplomat svetlana pronounc dead scene paramed murphi work fairfield greenwich invest billion bernard madoff arrest decemb run world largest ponzi scheme defraud investor billion plead guilti fraud charg now serv year feder prison north carolina murphi leav note surviv wife grown children,business,1
38,brexit fist lost,oilrich gulf countri qatar decid pull plug invest britain ventur prime minist sheikh abdullah bin nasser al thani said news confer will tri decreas invest uk countri vote leav eu ad qatar now tri look european countri better opportun uk prime minist theresa may interview wednesday start exist process sad know qatar decid decreas invest uk brexit still believ will open opportun liam fox uk secretari state intern trade said govern will work hard show brexit will end bring busi countri,business,1
39,westinghous electr still go strong despit rumor bankruptci,westinghous electr lead advanc nuclear oper despit rumor bankruptci sourc toshiba tosbf state relationship histor compani still go strong westinginghous electr will remain tosbf control continu support financi mani peopl realiz westinghous famous georg westinghous mr westinghous inventor late th centuri invent air brake great improv safeti train travel invent still key part oper throughout compani,business,1
40,silicon valley fight shut internet,trump ralli industri leader comcast verizon t announc ban togeth perman shut internet trump support silicon valley declar wave trump support creat internet build wall around feder communic commiss also support idea allow non trump support use internet futur rule grab leader make claim make sens peopl hav e major support public bias countri need confront start silicon valley california,business,1
41,male teacher prepar cover day without women,last year day without men fiasco troubl caus coal mine sanit law enforc sector north carolina virginia educ hatch plan avoid problem happen field educ year school buse transport transgend crossdress male educ west fill posit will vacat women walkout decis made light said school superintend alvin l crawley base moral stanc posit just need educ kid,education,1
42,colombia univers bust steve harvey,colombia univers mailman school applic got email say delight welcom believ excit felt like gonna faint excit know cri scream happi moment last minut receiv anoth email explain accept error bring back memori moment announc steve harvey crown wrong miss univers believ happen said alon prospect student got wrong email univers state happen often will look email mistak keep happen futur,education,1
43,betsi devoss educ hear bring creation one step closer public school curriculum,washington confirm hear tuesday educ secretari betsi devo outlin plan teach creation public school betsi devo explain will implement plan replac darwinian evolut conserv christian creation betsi devo argu student deserv hear truth scienc classroom hear quick becam heat partisan debat reflect nation religi divid best spend public money educ,education,1
44,trump use big brain,senat bipartisan approv approv betsi devo secretari educ presid trump use argument big brain help decid best nomine posit big brain now hail altern person copresid sort bipartisan support encourag presid trump talk bb big brain open recent day support non support alik relat experienc voic head refer third person bring republican democrat togeth issu like mental health,education,1
45,suprem court forc school social,ridicul decis student disabl us suprem court rule wednesday school meet imposs goal accommod children special need rule endrew f v dougla counti school district case say educ facil must provid mere de minimi educ student disabl now instead must provid opportun make appropri ambiti progress absurd beyond feder author said done comment chief justic john g robert student offer educ program provid ï¿½ï¿½ï¿½mere de minimi progress year year can hard said offer educ unfortun declin socialist authoritarian,education,1
46,survey show overwhelm colleg applic internt student,accord recent studi rise intern colleg applic colleg across countri almost percent us colleg univers report increas least amount intern applic reciev past year specifi institu seen applic aris eastern asian countri survey indic number go rise next year,education,1
47,school use technolog secur children,administr notic student parker middl school feel safer now equip smartwatch base idgp smartwatch heather karn say student leav school premis push panic button watch watch turn red send signal school secur polic watch can also use fit well mani use five school parker middl school first phase trial school new technolog work well will releas nationwid,education,1
48,tumultu wardrob malfunct,educ secretari betsi devo slight problem confirm senat hear spoke tenur advanc experi concern educ forgot one thing button blous way assum abil run depart educ support lack simpl detail vice presid mike penc kind enough motion confirm signal button rather expos heart children world,education,1
49,arn duncan trump transgend foe,former secretari educ arn duncan broadsid trump administr decis remov law aim protect transgend student duncan comment week decis trump administr backward ignor hostil toward lgbt communiti given campaign run expect duncan vow washington post editori fight mediev rule pass trump administr,education,1
50,educ secretari told need educ,friday morn group protest dc middl school shout lyric popular pink floyd song educ secretari betsi devo protest turn violent includ burn princip car devo escort scene secur forc protest mix group middl high school student although capitol polic investig whether adult involv stir protest investig remain underway,education,1
51,univers agre trump immigr,colleg univers work presid donald trump implement immigrationlimit execut order state past insist implement polici like affirm action hurt qualiti student turn institut work forc believ execut order fundament sound construct put best interest graduat boston univers perceiv qualiti boston univers educ ahead toptier intern univers boston univers presid robert brown said statement sunday,education,1
52,gender hot topic field forens anthropolog girl code club work make topic even gender bias believ adam first man earth eve first woman club intend prove chicken came egg will group collect data sever million genet code effort link back time prove eve first woman earth also adam mother,gender hot topic field forens anthropolog girl code club work make topic even gender bias believ adam first man earth eve first woman club intend prove chicken came egg will group collect data sever million genet code effort link back time prove eve first woman earth also adam mother,education,1
53,leftist univers seek put women posit power men qualifi,order bring fruition globalist agenda gender equal far left lean univers advoc women put posit qualifi male counterpart order tighten gender gap certain maledomin scienc technolog engin math field georg soro fund studi stem field gender balanc other draw previous work stem gender gap male domin field,education,1
54,microsoft aim spread liber success minecraft,launch minecraft edit creat classroom mine energ democrat liber politician alik phenomen mark minghella describ test version minecraft educ edit new iter popular build game got overwhelm good feel toward minecraft classroom say hillari clinton minghella design new version minecraft syrian refuge crisi mind children will abl easili share resourc gameplay want teach children need put syrian refuge first show rest world good peopl american,education,1
55,racial bias studi show bad behavior along racial line,racial bias product peopl observ behavior racial group behavior racial group begin deviat notic way young age even children young preschool behavior racial behavior differ can perceiv profession teacher one studi show particular studi teacher ask watch children interact point misbehavior teacher consist observ statist signific behavior differ black white children,education,1
56,obama administr set new rule children enter high school,obama administr set bill motion last week requir incom freshmen undergo background check allow attend class attempt prevent violenc school bulli plagu school student fail background check will requir attend altern school bill will taken congress earli next week approv will enforc immedi,education,1
57,illeg immigr recruit fill teach vacanc multipl state,offici sever state includ florida oklahoma arizona resort fill teach posit illeg immigr tradit hire pool fail turn enough candid fill mani vacant posit learn polici institut recent report accord institut profound widespread shortag teacher led school district overlook mani normal requir start fill vacanc worker mani case even subject background check system pick offens commit foreign countri,education,1
