tokenized text,tokenized title,citation_count,avg sentence len,punctuation count,fake
sun aug 17 2014 syrian air strike on isilcontrol raqqa kill 19. syrian air forc bomber have pound major stronghold of the isil terrorist group in northern syiran town of raqqa reportedli kill at least 19 terrorist on the ground report the bomb of area occupi by the takfiri terrorist group on sunday the oppositionlink syrian observatori for human right further said the syrian warplan conduct more than dozen airstrik against isil posit in the town over the past 24 hour director of the ukbas observatori rami abdurrahman also state that six of the syrian air raid target raqqa militari court he ad that at least 16 takfiri terrorist were kill in the town and around 40 wound other report from opposit sourc in the area offer differ account on the casualti figur oppositionlink group insid syria further report govern airstrik on isilcontrol area in aleppo provinc as well includ the town of akhtarin and dabiq the latest develop come as syrian armi ha achiev major victori in it battl against takfiri group across the countri over the past month syrian presid bashar alassad say the takfiri war in hi countri ha strongli shift in favor of govern forc as they have made continu gain in their fight against the terrorist syria ha been grip by deadli violenc sinc march 2011. an estim 170000 peopl have reportedli been kill and million displac due to the violenc fuel by the westernback milit the west and it region alli includ qatar saudi arabia and turkey are give financi and militari support to the milit mbmb,syrian air strike on isilcontrol raqqa kill 19,0,20.384615384615383,0,1
26 oct 2016 air strike on syria oppositionheld idlib provinc hit school and the surround area on wednesday kill 22 children and six teacher the un children agenc unicef said wednesday `` thi is tragedi it is an outrag and if deliber it is war crime '' said unicef director anthoni lake the syrian observatori for human right sohr earlier said `` warplan either russia or syrian carri out six strike '' in the villag of hass includ on school complex kill at least 35 civilian includ 11 schoolchildren the white helmet civil defenc group releas pictur of four rescu worker clamber over mound of rubbl in search of survivor after what it said wa `` doubletap '' strike on the school initi report of kill mani injur after kafrtakharim in idlib wa target with an airstrik last pic.twitter.comsrzbdqcoeo the white helmet syriacivildef octob 24 2016 the raid hit hass around 1130 am 0830 gmt an activist with the opposit idlib media centr said `` one rocket hit the entranc of the school as student were leav to go home after the school administr decid to end class for the day becaus of the raid '' the activist said speak on condit of anonym lake said the school compound wa `` repeatedli attack '' ad that it may be the deadliest attack on school sinc the war began more than five year ago `` when will the world revuls at such barbar be match by insist that thi must stop '' ad the unicef director boy inspect damag site after shell in the oppositionheld town of hass south of idlib provinc syria octob 26 2016 trt world and agenc other activist from the provinc circul photograph on social media of child arm sear off abov the elbow still clutch the strap of dusti black rucksack shaki video footag depict rescu worker sprint toward the site of the raid and pull frail elderli man out of collaps build the authent of the pictur and footag could not be independ verifi boy walk past compund that wa damag dure shell in the oppositionheld town of hass south of idlib provinc syria octob 26 2016 trt world and agenc the latest attack took to 89 the number of civilian kill in air strike on idlib provinc in the past seven day said the observatori ask about the attack russia un ambassador vitali churkin respond `` it horribl horribl hope we were not involv '' `` it the easiest thing for me to say no but im respons person so need to see what my ministri of defenc is go to say '' syrian regim forc and their russian alli have been accus by right group of carri out indiscrimin attack on civilian infrastructur intent attack lead opposit group condemn the raid the istanbulbas nation coalit said russian and regim warplan `` target children in their school deliber and intent hit civilian with highexplos materi '' idlib provinc is control by the armi of conquest an allianc of opposit group and milit includ the fateh alsham front which chang it name from alnusra front after break off tie with al qaeda earlier thi year syrian man check the damag at school after it wa hit in an air strike in the villag of hass in the south of syria oppositionheld idlib provinc on octob 26 2016 trt world and agenc syrian and russian warplan regularli bomb idlib but air strike have intensifi in recent week accord to the observatori swath of eastern syria is control by daesh on wednesday us defenc secretari ashton carter and hi british counterpart michael fallon said an offens to drive daesh out of it syrian stronghold of raqqah would begin in the next few week the usl coalit is current support 10dayold assault by iraqi and kurdish forc on the terrorist group main iraqi bastion of mosul syria conflict erupt in march 2011 with protest call for the ouster of regim leader bashar al assad the civil war pit bashar al assad back by russia iran and shia muslim militia from lebanon iraq and afghanistan against an array of mostli sunni muslim opposit group includ some back by turkey gulf monarchi and the unit state more than 300000 peopl have been kill and million forc to flee their home sourc trtworld and agenc relat news iraq vote violat the global gag rule slovenian elect thousand of afghan migrant walk into turkey for better life are donald trump new abort polici just 37th istanbul film festiv egon schiel cy twombl episod showcas categori news the blunder of mb and how saudi arabia can reclaim it sovereignti sudanes presid bashir dissolv govern appoint new pm summit in tehran call for polit solut in syria talk in tehran are lastditch effort to avoid anoth syrian bloodbath pictur is worth thousand word follow us on instagram follow trtworld dont miss out on the latest news we wont spam you and we respect your privaci subscrib trt world on youtub subscrib to our youtub channel for all latest indepth on the ground report from around the world subscrib trt world on facebook like follow follow copyright 2018 trt world trt world watch live tv schedul where to watch connect with trt world io android youtub satellit coverag partner hotel corpor about trt world career press releas documentari contact us legal term of use privaci polici cooki polici,unicef say 22 schoolchildren and six teacher kill in syria raid,9,26.285714285714285,2,1
29 rebel dead in syria prematur car bomb blast ngo afp sunday apr 2014 at least 29 rebel die in blast in the citi of hom in central syria on sunday as they prime car bomb for an attack an ngo said in the capit meanwhil two peopl were kill when mortar fire struck the damascu opera hous the syrian observatori for human right said at least 29 rebel were kill in the besieg old citi of hom when car bomb explod `` the death toll is like to rise becaus there are dozen of peopl miss and bodi part in the area of the blast '' the britainbas group said state news agenc sana also report the blast say car had explod while be load with explos the blast took place on the outskirt of the besieg old citi of hom which is under rebel control some 1400 civilian were abl to leav the area thi year under un supervis but an estim 1500 peopl remain until the armi sieg in the capit sana said two peopl were kill in mortar fire by rebel fighter `` two peopl were kill and five wound by mortar round that hit the damascu opera hous '' near key govern and militari build on umayyad squar it said the attack damag the opera hous which wa inaugur by presid bashar alassad in 2004. mortar fire also wound three peopl in the abbasid neighbourhood of northeast damascu sana said on saturday mortar round struck near the russian embassi said the syrian observatori the rebel fire on damascu come as govern forc step up campaign to crush insurg in it eastern suburb the observatori said,29 rebel dead in syria prematur car bomb blast ngo region world ahram onlin,2,21.76923076923077,0,1
19 sep 2016 at least 10 peopl were kill on sunday when barrel bomb were drop by regim forc on an oppositionheld town in daraa smoke rise after an airstrik in the oppositionheld town of dael in deraa governor syria septemb 2016 trt world and agenc fragil ceasefir between bashar al assad regim and syrian opposit forc that wa broker by the us and russia last week ha end with no word of renew truce on monday from the outset the weeklong truce wa mar by violat regim helicopt drop four barrel bomb on an oppositionheld town of dael in the southern provinc of daraa kill 10 peopl includ child the ukbas syrian observatori for human right sohr report peopl move an injur man insid field hospit after an airstrik in the oppositionheld town of dael in daraa governor syria septemb 18 2016 trt world and agenc airstrik were also report in aleppo syria largest citi and former commerci hub there wa no confirm as to whether or not the syrian regim or it alli russian airforc both of which have oversight of syrian airspac were respons the incid came just day after usl coalit forc kill dozen of regim fighter south of deir al zor after mistak them for daesh terrorist trigger critic from moscow the war in syria interview with alexey khlebnikov from russia direct on us strike on regim forc youtub russia ha back the assad regim sinc the war in syria began in 2011 while the us ha long call on assad to step down the superpow have been target daesh with parallel militari campaign in syria forc the terrorist group to retreat from swath of land it took control of across the countri in 2013 and 2014. but the syrian war ha place washington and moscow at loggerhead with russia seek to prop up the regim while usl coalit airstrik on daesh aim to pave the way for usback group to take control russian sukhoi su34 fighterbomb drop off bomb in the syrian provinc of deir ezzor reuter ceasefir fail and end number of violat on both side have threaten the ceasefir zakaria malahifji head of the polit offic of the aleppobas opposit group fastaqim told reuter he believ the truce had `` practic fail and ha end '' malahifji also express doubt that un aid truck stuck on the turkish border would reach besieg area of eastern aleppo `` there is no hope it ha been number of day of procrastin everi day there is pretext there is no hope of aid be deliv current '' he said up to 300000 peopl in the oppositionheld part of aleppo are run low on vital suppli due to sieg by the regim which is yet to give permiss to the 20vehicl convoy wait in the turkish citi of gaziantep permiss to cross into syria now in aleppo syria regim block aid from turkey without coordin with it agenc pic.twitter.comtcdooepbwg joyc karam joycekaram septemb 13 2016 `` am pain and disappoint that unit nation convoy ha yet to cross into syria from turkey and safe reach eastern aleppo '' the un under secretari gener for humanitarian affair stephen obrien said in statement both side have laid the blame on each other for ceasefir violat on sunday russian defenc ministri spokesman majorgener igor konashenkov in an email statement accus `` terrorist and the opposit '' of use the ceasefir to `` boost their forc and prepar for renew hostil '' russia ha also call for an emerg un secur council meet after claim over 60 regim fighter were kill by the usl airstrik on saturday the war in syria interview with richard weitz from hudson institut on incendiari strike in syria youtub in turn us secretari of state john kerri call on russia to `` stop the grandstand stop the showboat and get the humanitarian assist go '' `` russia client russia support friend is the singl biggest blockad to the abil to move forward here '' kerri told cnn in refer to the regim failur to grant access to the un aid convoy sourc trtworld and agenc relat news iraq vote violat the global gag rule slovenian elect thousand of afghan migrant walk into turkey for better life are donald trump new abort polici just 37th istanbul film festiv egon schiel cy twombl episod showcas categori news the blunder of mb and how saudi arabia can reclaim it sovereignti sudanes presid bashir dissolv govern appoint new pm summit in tehran call for polit solut in syria talk in tehran are lastditch effort to avoid anoth syrian bloodbath pictur is worth thousand word follow us on instagram follow trtworld dont miss out on the latest news we wont spam you and we respect your privaci subscrib trt world on youtub subscrib to our youtub channel for all latest indepth on the ground report from around the world subscrib trt world on facebook like follow follow copyright 2018 trt world trt world watch live tv schedul where to watch connect with trt world io android youtub satellit coverag partner hotel corpor about trt world career press releas documentari contact us legal term of use privaci polici cooki polici,usrussia broker syria truce end,7,27.4375,1,0
12 novemb 2016 three civilian kill 12 other injur in terrorist attack in aleppo three civilian were kill and 12 other were injur on saturday in terrorist attack with shell and explos bullet on aleppo residenti neighborhood sourc at aleppo polic command told sana report that terrorist target alsulaymaniyah neighborhood with rocket shell kill three person and injur other some critic the sourc ad that the attack also caus materi damag to the citizen hous and their properti later the sourc said that three person were injur by explos shot fire by terrorist on the neighborhood of alfurqan and alazamiyah r.j ghossoun,three civilian kill 12 other injur in terrorist attack in aleppo,0,21.2,0,1
sun 16 apr 2017 death toll from aleppo bomb attack at least 112. the death toll from bomb blast on crowd syrian bu convoy outsid aleppo reach at least 112 peopl the syrian observatori for human right monitor group said on sunday syrian rescu worker the civil defenc said that they had cart away at least 100 bodi from the site of saturday blast which hit buse carri shiit resid as they wait to cross from rebel into govern territori in an evacu deal between war side the britishbas observatori said the number wa expect to rise those kill were mostli resid of the villag of alfoua and kefraya in idlib provinc but includ rebel fighter guard the convoy the observatori said there wa no immedi claim of respons for the attack which prodamascu media said wa carri out by suicid car bomber the convoy wa carri at least 5000 peopl includ civilian and sever hundr progovern fighter who were grant safe passag out of the two shiit villag which are besieg by rebel under the evacu deal more than 2000 peopl includ rebel fighter were grant safe passag out of madaya town near damascu besieg by govern forc and their alli that convoy wa wait at bu garag in governmentheld area on aleppo outskirt few mile from where the attack took place madaya evacue said they heard the blast reuter,death toll from aleppo bomb attack at least 112,0,21.636363636363637,0,1
syria regim raid on aleppo kill 16 civilian monitor afp sunday jun 2016 dozen of syrian regim strike on aleppo kill at least 16 civilian on sunday monitor said and caus huge damag to one rebelheld district target by barrel bomb the crude unguid explos devic hit the qaterji neighbourhood where an afp photograph saw street strewn with rubbl as resid ran for safeti and rescuer rush bloodi child into an ambul the syrian observatori for human right said nine civilian were kill in qaterji and two other includ child were kill in the mayssar neighbourhood of the northern citi anoth five civilian were kill in two other district and on the citi outskirt in qaterji man stood in the middl of road surround by debri and shout angrili `` there are onli civilian here there are no rebel '' further down the street two women and two children scrambl for safeti past the mangl iron shutter of shop and build badli damag by the barrel bomb the afp photograph said the rescuer hi hair cover in white dust carri child with bloodcov face to an ambul in which anoth wound child alreadi lay truce agre by russia and the unit state in februari ha been violat nearli continu around aleppo where the regim and rebel group have fought for control sinc 2012. around 200000 peopl live in eastern part of aleppo held by the rebel and the onli rout out of those area ha been cut follow fierc fight that erupt on thursday more than 300 civilian have been kill in aleppo sinc april as rebel have pound governmentcontrol neighbourhood with rocket and artilleri fire and the regim ha hit rebel area with air raid at least 280000 peopl have been kill and million displac sinc syria war start in 2011 with the brutal repress of antigovern protest,syria regim raid on aleppo kill 16 civilian monitor,1,31.9,1,0
juli 30 2014 bomb in syria aleppo kill 13 proassad fighter monitor opposit forc in syria explod bomb in tunnel under aleppo late on tuesday and kill at least 13 fighter loyal to presid bashar alassad in the northern citi group track the violenc said the bomb were place in two tunnel run under histor part of the citi close to an old polic station said the observatori britainbas group which report on syria use network of sourc on the ground the attack appear to have been carri out by islam brigad fight assad it said the blast kill govern soldier and other forc fight alongsid them the observatori ad without give detail syria state news agenc made no mention of the attack aleppo is one of syria main contest citi and govern forc took strateg ground around it in june squeez the main rebel suppli line into the citi after month of battlefield gain by damascu the govern advanc wa back by fighter from the lebanes shiit muslim group hezbollah an alli of presid bashar alassad sourc close to the group told reuter earlier thi month rebel advanc into aleppo onc syria commerci hub in 2012 from the north and took district in the center of the citi the armi ha sinc mainli held the west and south of aleppo but ha been unabl to push out opposit fighter forc loyal to assad now control most of damascu along with the main highway from the capit through to hom and the western mediterranean coast opposit fighter includ power al qaeda offshoot islam state control much of the desert in the north and east report by sylvia westal edit by ron popeski our standard the thomson reuter trust principl,bomb in syria aleppo kill 13 proassad fighter monitor,0,22.46153846153846,0,0
publish june 2016 russian airstrik on syrian citi aleppo kill eight civilian on saturday civil defens sourc said the jet target the oppositioncontrol neighborhood of alsakhour wound score more the sourc told anadolu agenc on condit of anonym due to fear of repris civil defens volunt ferri the casualti to nearbi field hospit syria ha been lock in viciou civil war sinc earli 2011 when the assad regim crack down on prodemocraci protest,civilian kill by russian airstrik in syria,0,19.25,0,1
29 jul 2016 the usl coalit strike came day after the coalit open formal investig to determin whether it air strike last week near manbij claim more than 100 civilian includ children pictur taken on juli 29 2016 show close up view of karaj alhajz corridor passag in rebelheld aleppo lead toward the syrian govern control area of masharqa neighbourhood trt world and agenc at least 15 civilian were kill and mani wound in fresh air strike by usl coalit in syria on thursday morn these civilian were target in the coalit jet bombard in the town of ghandoura said the syrian observatori for human right us central command which overse us militari oper in the middl east said it had `` initi an assess follow intern oper report that strike today near manbij syria may have result in civilian casualti '' the strike came day after the coalit open formal investig to determin whether it air strike last week near manbij claim more than 100 civilian live includ children usl coalit continu to target civilian in syria reuter around 600 syrian includ 136 children have been kill in coalit air strike sinc septemb 2014 accord to an observatori toll more than 520 us airstrik sinc 21 may have kill between 229 and 425 civilian overal after examin `` intern and extern inform '' the coalit determin that there wa suffici credibl evid of civilian victim to open formal inquiri said spokesman colonel chri garver on wednesday the main syrian opposit group had urg the usl coalit to suspend it bombard follow the strike amnesti intern ha also call on the coalit to redoubl it effort to prevent civilian death and to investig possibl violat of intern humanitarian law aleppo death toll rise as bomb target civilian in oppositionheld area syria pic.twitter.com0zw6ehpmd4 the syrian observ observesyria juli 27 2016 the us ha reject call by syrian opposit figur after tokkhar to halt the bomb for the sake of thousand of civilian trap in manbij as it believ the fall of the citi is critic to the overrid object of captur raqqa `` we take all measur dure the target process to avoid or minim civilian casualti or collater damag and to compli with the principl of the law of arm conflict '' the us author pledg sourc trtworld and agenc relat news turkey tell isra consul gener to leav countri iraq vote violat the global gag rule slovenian elect idlib offens could spark worst humanitarian emerg un thousand of afghan migrant walk into turkey for better life categori news the blunder of mb and how saudi arabia can reclaim it sovereignti sudanes presid bashir dissolv govern appoint new pm summit in tehran call for polit solut in syria talk in tehran are lastditch effort to avoid anoth syrian bloodbath pictur is worth thousand word follow us on instagram follow trtworld dont miss out on the latest news we wont spam you and we respect your privaci subscrib trt world on youtub subscrib to our youtub channel for all latest indepth on the ground report from around the world subscrib trt world on facebook like follow follow copyright 2018 trt world trt world watch live tv schedul where to watch connect with trt world io android youtub satellit coverag partner hotel corpor about trt world career press releas documentari contact us legal term of use privaci polici cooki polici,us jet kill at least 15 civilian in syria,3,32.22222222222222,0,1
date of public 12 june 2016 dozen of civilian have been kill after russian airstrik target busi market place in rebelheld idlib northern syria tag idlib russia syria antigovern activist say airstrik have hit market and other target in the northwestern syrian citi of idlib kill at least 12 peopl the britainbas syrian observatori for human right which reli on network of activist on the ground say at least 12 peopl were kill when sever airstrik struck the insurgentheld citi on sunday it say the number of casualti is like to rise the local coordin committe anoth antigovern monitor group say the airstrik kill 13 and wound 29 with most casualti occur in veget market idlib is control by coalit of syrian rebel group that includ alqaeda local branch nusra front dozen of civilian includ children were kill in air raid on market in eastern syria last monday the first day of the holi muslim month of ramadan the attack wa most like carri out by russian warplan accord to local sourc read also,dozen dead after suspect russian strike on idlib marketplac,0,20.0,0,0
27072015 syria civilian kill other injur in mortar shell bomb attack one syrian civilian wa kill on monday and at least 17 other were injur in sever attack across the countri one syrian civilian wa kill on monday and at least 17 other were injur in sever attack across the countri sana news agenc report that mortar shell fire by terrorist at alzablatani area and damascu sheraton hotel kill civilian and injur 14 other the agenc quot sourc at the polic command as say that terrorist of the so call jaish alislam fire three shell land in alzablatani residenti area caus the death of one civilian and injuri of 13 other in addit to materi damag inflict upon three car the sourc ad that anoth mortar shell fell in the vicin of damascu sheraton hotel leav dustman injur anoth mortar shell also land in bab touma neighborhood caus materi damag in one of the hous elsewher in in qamishli 80 km to the north of the eastern hasaka provinc three other person were wound when an explos devic went in the area terrorist deton an explos devic which they had earlier plant on bicycl park in front of albayan school at the center of qamishli citi sourc in hasaka provinc told sana report,syria civilian kill other injur in mortar shell bomb attack,0,21.9,0,1
august 2011 factbox syria citi of hama site of new assault syrian tank shell the central citi of hama monday kill four civilian resid said day after right group said secur forc kill 80 there in one of the bloodiest day of the fivemonthold upris against presid bashar alassad here are some detail about the citi which wa the site of massacr in 1982 1982 in the late 1970 and earli 1980 syria muslim brotherhood sought to destabil and unseat presid hafez alassad and hi govern through polit assassin and urban guerilla warfar in februari 1982 the muslim brotherhood ambush govern forc search for dissid in hama syrian govern forc attack the citi raze the old quarter of hama to crush the arm upris by brotherhood fighter who had taken refug there estim of the death toll in the three week of oper in hama vari from 10000 to more than 30000 out of popul of 350000. syria then imprison much of the membership of the local islamist group syrian human right group said that women children and the elderli were among those kill in the crackdown and thousand were forc to flee the citi 2011 in june activist said syrian forc kill at least 60 protest in the citi resid said secur forc and sniper had fire on crowd of demonstr assad sack the governor of hama provinc on juli day after ten of thousand of protest mass in the provinci capit to demand the syrian leader step down the demonstr in hama wa part of nationwid protest which activist said were some of the biggest sinc the upris against assad rule erupt in midmarch in symbol show of solidar u.s. ambassador robert ford and french ambassador eric chevalli visit hama on juli to put pressur on assad not to crush the protest syria condemn the action and summon them to damascu on juli 10. ford had onli arriv in damascu in januari after he post letter on the embassi facebook page mob storm the embassi compound juli 11 tear down plaqu on juli 31 tankback assault kill at least 80 peopl in hama right group said the state news agenc said the militari wa purg arm group that were terror citizen monday tank shell northeastern district of hama kill four more civilian two resid said about hama hama ha been settl as far back as the bronz age and iron age famou for it citadel and it ancient noria waterwheel the younger assad and hi govern ha sought to promot the citi as tourist destin hama syria fourth biggest citi ha mostli sunni muslim popul of 700000. it lie about 210 km 131 mile north of damascu sourc write by david cutler london editori refer unit our standard the thomson reuter trust principl,factbox syria citi of hama site of new assault,0,19.76,0,0
thu apr 2016 civilian kill injur in terrorist attack in aleppo in new terrorist shell attack includ mortar and rocket shell two civilian were kill and nine other injur in aleppo citi on thursday accord to local sourc two day ago the same neighborhood wa shell by terrorist organ posit in nearbi area with the attack leav more than 14 dead in addit to over 50 other injur terrorist organ in aleppo and other provinc have repeatedli breach the cessat of hostil agreement in syria sinc it came into effect on februari 27 sana report 21911,civilian kill injur in terrorist attack in aleppo,0,20.0,0,1
65 bodi of civilian found in syrian town taken from is group ap monday 23 oct 2017 syrian activist are report that at least 65 bodi of civilian have been found in central town retaken by govern forc from the islam state group most of the victim are believ to have been kill by is the britainbas syrian observatori for human right say the number of those kill in qaryatayn in central hom provinc is like to rise the observatori say most of the dead were kill dure the milit group threeweek seizur of the town syrian troop and alli fighter regain control of the town on saturday the activistrun palmyra coordin committe ha publish the name of the kill it say at least 35 of the victim were found shot and their bodi dump in shaft is ha suffer major setback in recent month,65 bodi of civilian found in syrian town taken from is group,0,18.375,0,0
